week,mean_slope,lower_bound,upper_bound,analysis,time_season,pre_post,slope,lwr,upr
17,-0.09208912527785953,-0.1600033387935041,-0.041283703832752885,space,NA,NA,-0.09208912527785953,-0.1600033387935041,-0.041283703832752885
19,-0.0677057423011463,-0.10644914788756202,-0.0367361536435798,space,NA,NA,-0.0677057423011463,-0.10644914788756202,-0.0367361536435798
15,-0.06447165812451236,-0.14614098878640902,-5.846360429061566e-4,space,NA,NA,-0.06447165812451236,-0.14614098878640902,-5.846360429061566e-4
29,-0.07656887924569006,-0.13202336236675552,-0.028124203584520897,space,NA,NA,-0.07656887924569006,-0.13202336236675552,-0.028124203584520897
21,-0.039646450869990024,-0.09006514544978354,0.008683498537329717,space,NA,NA,-0.039646450869990024,-0.09006514544978354,0.008683498537329717
14,-0.020918703425827103,-0.06840141720793451,0.02104074401414207,space,NA,NA,-0.020918703425827103,-0.06840141720793451,0.02104074401414207
33,-0.0908044734505958,-0.18560802146398814,-0.006194232034766959,space,NA,NA,-0.0908044734505958,-0.18560802146398814,-0.006194232034766959
37,-0.09353802001109468,-0.15864626447391797,-0.04506743799148504,space,NA,NA,-0.09353802001109468,-0.15864626447391797,-0.04506743799148504
12,-0.08204454365255232,-0.3328927747264143,0.14269961483411245,space,NA,NA,-0.08204454365255232,-0.3328927747264143,0.14269961483411245
10,-0.17686472230643296,-0.369117600620132,-0.043977707162799244,space,NA,NA,-0.17686472230643296,-0.369117600620132,-0.043977707162799244
0,1.3929288792038748,-0.5691881310052096,4.755487377671516,"time, ind. tree",before leafout,before leafout,1.3929288792038748,-0.5691881310052096,4.755487377671516
0,-0.34497448215441406,-0.41338995972012477,-0.28302474566730557,"time, ind. tree",after leafout,after leafout,-0.34497448215441406,-0.41338995972012477,-0.28302474566730557
